"demers_pelag","mobility","big","Genus","Species","Tmax","tmax_metric","tmax_acc","lat","lon","altitude","citation","Phylum","Class","Order","Family","NMGHCND_2m_shade_Tb95","NMGHCND_exposed_Tb95","NMGHCND_exposed_Tb_wet95","NMGHCND_shade_Tb_wet95","thermy","Realm","Realm_detail","weight","length","ctmax_ARR_GS","thabann","thabsum","thabmaxmo","thab95hr","elev.grid","thabann.adj","thabsum.adj","thabmaxmo.adj","thab95hr.marineBT","thab95hr.marineBTmore","thab95hr.marineBTless","MBTrefuge","tmax.accsum","tmax.accsum.elev","tmax.accsumbyspp","tmax.accsumbyspp.elev","tsm_ann","tsm_ann_elev","tsm_sum","tsm_sum_elev","tsm_maxmo","tsm_maxmo_elev","tsm_95hr_accsum","tsm_95hr_marineBT","tsm_95hr_marineBT_accsum","tsm_95hr_marineBT_accsumbyspp","tsm_95hr_marineBTmore_accsum","tsm_95hr_marineBTless_accsum","tsm_NMGHCND_2m_shade_Tb95","tsm_NMGHCND_2m_shade_Tb95_accsum","tsm_NMGHCND_2m_shade_Tb95_accsum.elev","tsm_NMGHCND_2m_shade_Tb95_accsumbyspp.elev","tsm_NMGHCND_exposed_Tb95","tsm_NMGHCND_exposed_Tb95_accsum","tsm_NMGHCND_exposed_Tb95_accsum.elev","tsm_NMGHCND_shade_Tb_wet95","tsm_NMGHCND_shade_Tb_wet95_accsum","tsm_NMGHCND_shade_Tb_wet95_accsum.elev","tsm_NMGHCND_shade_Tb_wet95_accsumbyspp.elev","animal.type","tb_favorableGHCND95","tb_sunGHCND95","tsm_exposedGHCND95","tsm_favorableGHCND95","tsm_favorableGHCND95_marBTmore","tsm_favorableGHCND95_marBTless","tsm_favorableGHCND95byspp","tsm_favorableGHCND95_nomarineBT","tsm_favorableGHCND95_noacc"
NA,NA,NA,"Anolis","intermedius",38.4,"crit",24.5,10.25,-84.8,1450,"van_Berkum_1988","Chordata","Reptilia","Squamata","Polychrotidae",27.0636657715949,50.3933595419724,31.5658739090028,22.9675772666417,"ectotherm","Terrestrial","",3.33,NA,NA,20.26984375,20.2021875,21.80984375,NA,511,15.10534375,15.0376875,16.64534375,NA,NA,NA,NA,37.927240625,37.359145625,NA,NA,18.13015625,23.29465625,18.1978125,23.3623125,16.59015625,21.75465625,NA,NA,NA,NA,NA,NA,11.3363342284051,10.8635748534051,10.2954798534051,NA,-11.9933595419724,-12.4661189169724,-13.0342139169724,15.4324227333583,14.9596633583583,14.3915683583583,NA,"reptile",27.0636657715949,50.3933595419724,-13.0342139169724,10.2954798534051,10.2954798534051,10.2954798534051,NA,10.2954798534051,11.3363342284051
NA,NA,NA,"Anolis","lemurinus",37.3,"crit",24.5,10.5,-84,50,"van_Berkum_1988","Chordata","Reptilia","Squamata","Polychrotidae",30.3261069372736,54.6807272693012,32.234749542361,26.8134878123083,"ectotherm","Terrestrial","",10.19,NA,NA,24.73625,24.99125,25.67625,NA,148,25.27525,25.53025,26.21525,NA,NA,NA,NA,37.3540375,37.4133275,NA,NA,12.56375,12.02475,12.30875,11.76975,11.62375,11.08475,NA,NA,NA,NA,NA,NA,6.9738930627264,7.0279305627264,7.08722056272639,NA,-17.3807272693012,-17.3266897693012,-17.2673997693012,10.4865121876917,10.5405496876917,10.5998396876917,NA,"reptile",30.3261069372736,54.6807272693012,-17.2673997693012,7.08722056272639,7.08722056272639,7.08722056272639,NA,7.08722056272639,6.9738930627264
NA,NA,NA,"Anolis","limifrons",36.8,"crit",24.5,10.5,-84,50,"van_Berkum_1988","Chordata","Reptilia","Squamata","Polychrotidae",30.3261062621127,54.6807271957412,32.2347497940013,26.8134883880501,"ectotherm","Terrestrial","",2.81,NA,NA,24.73625,24.99125,25.67625,NA,148,25.27525,25.53025,26.21525,NA,NA,NA,NA,36.8540375,36.9133275,NA,NA,12.06375,11.52475,11.80875,11.26975,11.12375,10.58475,NA,NA,NA,NA,NA,NA,6.4738937378873,6.5279312378873,6.5872212378873,NA,-17.8807271957412,-17.8266896957412,-17.7673996957412,9.9865116119499,10.0405491119499,10.0998391119499,NA,"reptile",30.3261062621127,54.6807271957412,-17.7673996957412,6.5872212378873,6.5872212378873,6.5872212378873,NA,6.5872212378873,6.4738937378873
NA,NA,NA,"Anolis","lionotus",36.7,"crit",24.5,10.5,-84,50,"van_Berkum_1988","Chordata","Reptilia","Squamata","Polychrotidae",30.326106786881,54.6807272540173,32.2347495946454,26.8123030529502,"ectotherm","Terrestrial","",9.82,NA,NA,24.73625,24.99125,25.67625,NA,148,25.27525,25.53025,26.21525,NA,NA,NA,NA,36.7540375,36.8133275,NA,NA,11.96375,11.42475,11.70875,11.16975,11.02375,10.48475,NA,NA,NA,NA,NA,NA,6.373893213119,6.427930713119,6.487220713119,NA,-17.9807272540173,-17.9266897540173,-17.8673997540173,9.8876969470498,9.9417344470498,10.0010244470498,NA,"reptile",30.326106786881,54.6807272540173,-17.8673997540173,6.487220713119,6.487220713119,6.487220713119,NA,6.487220713119,6.373893213119
NA,NA,NA,"Anolis","shrevei",40.1,"crit",29.2,18.8,-70.7,2200,"Hertz_Huey_1981","Chordata","Reptilia","Squamata","Polychrotidae",23.2841796205771,45.5847297368564,26.6239592540114,18.3068657847468,"ectotherm","Terrestrial","",4.54,NA,NA,20.61890625,21.9525,22.3665625,NA,1559,17.09340625,18.427,18.8410625,NA,NA,NA,NA,39.302775,38.91497,NA,NA,19.48109375,23.00659375,18.1475,21.673,17.7334375,21.2589375,NA,NA,NA,NA,NA,NA,16.8158203794229,16.0185953794229,15.6307903794229,NA,-5.4847297368564,-6.2819547368564,-6.6697597368564,21.7931342152532,20.9959092152532,20.6081042152532,NA,"reptile",23.2841796205771,45.5847297368564,-6.6697597368564,15.6307903794229,15.6307903794229,15.6307903794229,NA,15.6307903794229,16.8158203794229
NA,NA,NA,"Anolis","tropidolepis",33.1,"crit",23.5,10.25,-85.628,1500,"van_Berkum_1988","Chordata","Reptilia","Squamata","Polychrotidae",31.762701414136,59.6026794272263,33.3515338893331,27.3959383017709,"ectotherm","Terrestrial","",4.32,NA,NA,27.0934375,26.7302083333333,29.466875,NA,179.5,19.8306875,19.4674583333333,22.204125,NA,NA,NA,NA,33.4553229166667,32.6564204166667,NA,NA,6.0065625,13.2693125,6.36979166666667,13.6325416666667,3.633125,10.895875,NA,NA,NA,NA,NA,NA,1.337298585864,1.69262150253067,0.89371900253067,NA,-26.5026794272263,-26.1473565105596,-26.9462590105596,5.7040616982291,6.05938461489577,5.26048211489577,NA,"reptile",31.762701414136,59.6026794272263,-26.9462590105596,0.89371900253067,0.89371900253067,0.89371900253067,NA,0.89371900253067,1.337298585864
NA,NA,NA,"Antarctopsocus","jeanneli",29.5,"crit",5.7,-46.9,37.8,99,"Slabber_and_Chown_2004","Arthropoda","Insecta","Psocoptera","Elipsocidae",NA,NA,NA,NA,"ectotherm","Terrestrial","",NA,NA,NA,NA,NA,NA,NA,0.628808864265928,NA,NA,NA,NA,NA,NA,NA,29.5,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"insect",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Austrelaps","superbus",41.2,"crit",NA,-30,150,NA,"Spellerberg_1972","Chordata","Reptilia","Squamata","Elapidae",29.2876713007455,55.9165558574808,30.2188857472188,20.6591621005019,"ectotherm","Terrestrial","",905.09,NA,NA,18.1265625,24.9608333333333,25.6375,NA,388.25,18.1265625,24.9608333333333,25.6375,NA,NA,NA,NA,41.2,41.2,NA,NA,23.0734375,23.0734375,16.2391666666667,16.2391666666667,15.5625,15.5625,NA,NA,NA,NA,NA,NA,11.9123286992545,11.9123286992545,11.9123286992545,NA,-14.7165558574808,-14.7165558574808,-14.7165558574808,20.5408378994981,20.5408378994981,20.5408378994981,NA,"reptile",29.2876713007455,55.9165558574808,-14.7165558574808,11.9123286992545,11.9123286992545,11.9123286992545,NA,11.9123286992545,11.9123286992545
NA,NA,NA,"Bassiana","duperreyi",43.5,"crit",NA,-30,150,NA,"Spellerberg_1972","Chordata","Reptilia","Squamata","Scincidae",29.2859649683193,55.9251790859229,30.4193514119999,20.7009898919149,"ectotherm","Terrestrial","",10.47,NA,NA,18.1265625,24.9608333333333,25.6375,NA,388.25,18.1265625,24.9608333333333,25.6375,NA,NA,NA,NA,43.5,43.5,NA,NA,25.3734375,25.3734375,18.5391666666667,18.5391666666667,17.8625,17.8625,NA,NA,NA,NA,NA,NA,14.2140350316807,14.2140350316807,14.2140350316807,NA,-12.4251790859229,-12.4251790859229,-12.4251790859229,22.7990101080851,22.7990101080851,22.7990101080851,NA,"reptile",29.2859649683193,55.9251790859229,-12.4251790859229,14.2140350316807,14.2140350316807,14.2140350316807,NA,14.2140350316807,14.2140350316807
NA,NA,NA,"Bothrometopus","brevis",34.7,"crit",7.5,-53.05742,73.549233,5,"Klok_and_Chown_2003","Arthropoda","Insecta","Coleoptera","Curculionidae",NA,NA,NA,NA,"ectotherm","Terrestrial","",NA,NA,0.05,NA,NA,NA,NA,1.24653739612188,NA,NA,NA,NA,NA,NA,NA,34.7,34.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"insect",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Bothrometopus","elongatus",37.6,"crit",15,-46.9,37.8,150,"Klok_and_Chown_2003","Arthropoda","Insecta","Coleoptera","Curculionidae",NA,NA,NA,NA,"ectotherm","Terrestrial","",NA,NA,0.1,NA,NA,NA,NA,0.628808864265928,NA,NA,NA,NA,NA,NA,NA,37.6,37.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"insect",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Bothrometopus","gracilipes",34.1,"crit",7.5,-53.05742,73.549233,200,"Klok_and_Chown_2003","Arthropoda","Insecta","Coleoptera","Curculionidae",NA,NA,NA,NA,"ectotherm","Terrestrial","",NA,NA,-0.45,NA,NA,NA,NA,1.24653739612188,NA,NA,NA,NA,NA,NA,NA,34.1,34.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"insect",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Bothrometopus","randi",37.7,"crit",15,-46.9,37.7,0,"van_der_Merwe_et_al_1997","Arthropoda","Insecta","Coleoptera","Curculionidae",NA,NA,NA,NA,"ectotherm","Terrestrial","",NA,NA,0.09,NA,NA,NA,NA,0.628808864265928,NA,NA,NA,NA,NA,NA,NA,37.7,37.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"insect",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Bufo","alvarius",39.9,"crit",30,31,-112,304.8,"Brattstrom_1968","Chordata","Amphibia","Anura","Bufonidae",35.4998315936574,59.3542728009312,31.8585519724308,24.0982575567437,"ectotherm","Terrestrial","",237.7,NA,0.18,21.3489583333333,29.6458333333333,30.7325,NA,597.25,22.9574333333333,31.2543083333333,32.340975,NA,NA,NA,NA,39.8610416666667,40.0379739166667,39.83625,40.1257755,18.5510416666667,16.9425666666667,10.2541666666667,8.64569166666667,9.1675,7.559025,NA,NA,NA,NA,NA,NA,4.4001684063426,4.36121007300927,4.53814232300927,4.6259439063426,-19.4542728009312,-19.4932311342645,-19.3162988842645,15.8017424432563,15.762784109923,15.939716359923,16.0275179432563,"amphibian",24.0982575567437,31.8585519724308,-19.3162988842645,15.939716359923,15.939716359923,15.939716359923,16.0275179432563,15.939716359923,15.8017424432563
NA,NA,NA,"Bufo","canaliferus",37.3,"crit",26,14.58,-90.53,914.4,"Brattstrom_1968","Chordata","Amphibia","Anura","Bufonidae",23.8607282974909,53.3826936383264,30.3582568714557,19.4822034042572,"ectotherm","Terrestrial","",NA,NA,NA,23.7101041666667,24.2820833333333,24.705625,NA,1706,28.0639041666667,28.6358833333333,29.059425,NA,NA,NA,NA,37.1110291666667,37.5899471666667,NA,NA,13.5898958333333,9.23609583333333,13.0179166666667,8.66411666666666,12.594375,8.240575,NA,NA,NA,NA,NA,NA,13.4392717025091,13.2503008691758,13.7292188691758,NA,-16.0826936383264,-16.2716644716597,-15.7927464716597,17.8177965957428,17.6288257624095,18.1077437624095,NA,"amphibian",19.4822034042572,30.3582568714557,-15.7927464716597,18.1077437624095,18.1077437624095,18.1077437624095,NA,18.1077437624095,17.8177965957428
NA,NA,NA,"Bufo","marmoreus",40.2,"crit",36,17,-96.7,304.8,"Brattstrom_1968","Chordata","Amphibia","Anura","Bufonidae",29.4193533231473,49.8559968474799,27.9479220379692,20.2755044862908,"ectotherm","Terrestrial","",NA,NA,0.09,18.5094270833333,19.668125,20.92,NA,1927,27.4315270833333,28.590225,29.8421,NA,NA,NA,NA,38.40349375,39.38492475,38.73013125,39.53312025,21.6905729166667,12.7684729166667,20.531875,11.609775,19.28,10.3579,NA,NA,NA,NA,NA,NA,10.7806466768527,8.9841404268527,9.9655714268527,10.1137669268527,-9.6559968474799,-11.4525030974799,-10.4710720974799,19.9244955137092,18.1279892637092,19.1094202637092,19.2576157637092,"amphibian",20.2755044862908,27.9479220379692,-10.4710720974799,19.1094202637092,19.1094202637092,19.1094202637092,19.2576157637092,19.1094202637092,19.9244955137092
NA,NA,NA,"Bufo","mazatlanensis",39.9,"crit",30,27,-109.7,304.8,"Brattstrom_1968","Chordata","Amphibia","Anura","Bufonidae",34.6375421439476,61.7544443076806,33.2149692522324,27.1070682961068,"ectotherm","Terrestrial","",NA,NA,0.15,25.59703125,31.7054166666667,32.0675,NA,24.5,24.05538125,30.1637666666667,30.52585,NA,NA,NA,NA,40.0875958333333,39.9180143333333,40.1558125,39.924565,14.30296875,15.84461875,8.19458333333333,9.73623333333333,7.8325,9.37415,NA,NA,NA,NA,NA,NA,5.2624578560524,5.45005368938573,5.28047218938573,5.2870228560524,-21.8544443076806,-21.6668484743473,-21.8364299743473,12.7929317038932,12.9805275372265,12.8109460372265,12.8174967038932,"amphibian",27.1070682961068,33.2149692522324,-21.8364299743473,12.8109460372265,12.8109460372265,12.8109460372265,12.8174967038932,12.8109460372265,12.7929317038932
NA,NA,NA,"Bufo","nelsoni",36.2,"crit",30,36.91,-116.76,1524,"Brattstrom_1968","Chordata","Amphibia","Anura","Bufonidae",33.2146626025768,55.2113430248247,27.3751456880426,19.8298739431974,"ectotherm","Terrestrial","",NA,NA,0.04,17.4443229166667,28.303125,29.79,NA,1237,15.8658229166667,26.724625,28.2115,NA,NA,NA,NA,36.01334375,35.83970875,36.132125,36.068985,18.7556770833333,20.3341770833333,7.896875,9.47537500000001,6.41,7.9885,NA,NA,NA,NA,NA,NA,2.9853373974232,2.7986811474232,2.6250461474232,2.8543223974232,-19.0113430248247,-19.1979992748247,-19.3716342748247,16.3701260568026,16.1834698068026,16.0098348068026,16.2391110568026,"amphibian",19.8298739431974,27.3751456880426,-19.3716342748247,16.0098348068026,16.0098348068026,16.0098348068026,16.2391110568026,16.0098348068026,16.3701260568026
NA,NA,NA,"Canonopsis","sericeus",38.6,"crit",7.5,-53.05742,73.549233,5,"Klok_and_Chown_2003","Arthropoda","Insecta","Coleoptera","Curculionidae",NA,NA,NA,NA,"ectotherm","Terrestrial","",NA,NA,NA,NA,NA,NA,NA,1.24653739612188,NA,NA,NA,NA,NA,NA,NA,38.6,38.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"insect",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Chamaeleo","bitaeniatus",42.1,"crit",28.6,1.226387,36.26,2000,"Bennett_2004","Chordata","Reptilia","Squamata","Chamaeleonidae",33.1048551244913,54.0131573189719,30.8475766261739,23.1513905564328,"ectotherm","Terrestrial","",145.87,NA,NA,21.7832552083333,20.9757291666667,23.0353125,NA,1146,17.0862552083333,16.2787291666667,18.3383125,NA,NA,NA,NA,41.2613302083333,40.7446602083333,NA,NA,20.3167447916667,25.0137447916667,21.1242708333333,25.8212708333333,19.0646875,23.7616875,NA,NA,NA,NA,NA,NA,8.9951448755087,8.15647508384203,7.63980508384203,NA,-11.9131573189719,-12.7518271106386,-13.2684971106386,18.9486094435672,18.1099396519005,17.5932696519005,NA,"reptile",33.1048551244913,54.0131573189719,-13.2684971106386,7.63980508384203,7.63980508384203,7.63980508384203,NA,7.63980508384203,8.9951448755087
NA,NA,NA,"Chamaeleo","dilepis",43.6,"crit",31.7,-2.413422,37.9,800,"Bennett_2004","Chordata","Reptilia","Squamata","Chamaeleonidae",29.0208031290714,49.9751019291514,29.2210660459436,21.4990199197311,"ectotherm","Terrestrial","",138.13,NA,NA,22.859375,23.6121875,24.8275,NA,1016,24.047375,24.8001875,26.0155,NA,NA,NA,NA,42.710340625,42.841020625,NA,NA,20.740625,19.552625,19.9878125,18.7998125,18.7725,17.5845,NA,NA,NA,NA,NA,NA,14.5791968709286,13.6895374959286,13.8202174959286,NA,-6.3751019291514,-7.2647613041514,-7.1340813041514,22.1009800802689,21.2113207052689,21.3420007052689,NA,"reptile",29.0208031290714,49.9751019291514,-7.1340813041514,13.8202174959286,13.8202174959286,13.8202174959286,NA,13.8202174959286,14.5791968709286
